unix_time,marker_frame_id,camera_marker_x_m,camera_marker_y_m,camera_marker_z_m,camera_marker_qx,camera_marker_qy,camera_marker_qz,camera_marker_qw,base_x_m,base_y_m,base_z_m,base_rx_deg,base_ry_deg,base_rz_deg
1785840146.502125,d405_color_optical_frame,-0.108770482,0.033342995,0.225584671,-0.239522096805,0.888947813182,-0.262533829220,0.288923760005,0.167649000,-0.021562000,0.315807000,-169.632000,56.706000,-165.422000
1785840157.642366,d405_color_optical_frame,-0.114015587,-0.003962714,0.248988122,-0.176687849523,0.904137122904,-0.170904217758,0.349441290021,0.147740000,0.026075000,0.326139000,-172.711000,61.579000,-166.264000
1785840163.887231,d405_color_optical_frame,-0.139492899,0.082155101,0.279440314,-0.104615375937,0.922900054229,-0.238316994709,0.283753630910,0.183728000,0.042355000,0.398465000,169.253000,52.266000,175.258000
1785840197.171141,d405_color_optical_frame,-0.093337283,0.038117576,0.186405867,0.002761515387,0.912651157956,-0.238345074370,0.332041960357,0.190111000,0.041894000,0.285095000,155.307000,50.027000,156.284000
1785840212.788381,d405_color_optical_frame,-0.102724582,0.072300777,0.225028411,-0.553849720652,0.799641505969,-0.201359678705,0.115231196543,0.161692000,0.092977000,0.325127000,-153.781000,40.080000,-111.946000
1785840223.324006,d405_color_optical_frame,-0.122234441,0.073216878,0.274842203,0.467972972376,0.772786364298,-0.183643618120,0.387398443213,0.144171000,0.028609000,0.362883000,142.969000,21.206000,103.548000
1785840237.784593,d405_color_optical_frame,-0.082036942,0.066007465,0.216701537,-0.125357778708,0.927789128964,-0.210689859060,0.281251742720,0.158518000,0.082471000,0.308734000,166.897000,49.387000,179.521000
1785840266.437963,d405_color_optical_frame,-0.098299377,0.052391063,0.216177225,-0.501242745568,0.823748730678,-0.181970831389,0.192562600850,0.140812000,0.087095000,0.306405000,-151.513000,47.743000,-115.263000
1785840277.812595,d405_color_optical_frame,-0.107878931,0.051749926,0.214474559,-0.179951597757,0.877700216522,-0.304524590023,0.323302530849,0.162352000,-0.031879000,0.309711000,178.603000,56.463000,179.694000
1785840285.534427,d405_color_optical_frame,-0.099574409,0.053635806,0.223536998,0.043358806631,0.963919991864,-0.205921674728,0.163016953260,0.292927000,0.048769000,0.313281000,171.202000,32.964000,164.041000
1785840300.209238,d405_color_optical_frame,-0.086493984,0.046532199,0.206579074,0.070331798258,0.887620003197,-0.263702150693,0.371005854129,0.153292000,0.020551000,0.295358000,144.959000,49.283000,141.326000
1785840354.620005,d405_color_optical_frame,-0.109430209,0.076162100,0.255775571,-0.406555177847,0.873979286208,-0.220464249058,0.149226705157,0.185934000,0.082395000,0.360917000,-163.857000,44.686000,-134.555000
1785840362.719628,d405_color_optical_frame,-0.087847114,0.077465482,0.236890167,0.610820352419,0.682493174716,-0.159650939034,0.368256895661,0.176509000,0.039395000,0.324702000,146.529000,8.266000,87.544000
1785840378.527936,d405_color_optical_frame,-0.092855163,0.031100884,0.200293496,-0.205939403077,0.852826621813,-0.234770535482,0.418519427336,0.098555000,0.019619000,0.273640000,172.991000,72.906000,-176.262000
1785840393.663995,d405_color_optical_frame,-0.076083913,0.061988130,0.210681915,-0.387553541161,0.878710373284,-0.228437137213,0.159645879868,0.183593000,0.066422000,0.305244000,-164.857000,45.338000,-138.385000
1785840411.916088,d405_color_optical_frame,-0.113542505,0.067340575,0.249876752,0.407999320521,0.816733972716,-0.191171954617,0.360465610057,0.178272000,0.019412000,0.346407000,144.712000,26.197000,110.229000
