time_s,sample,action,target_little,target_ring,target_middle,target_index,target_thumb_bend,target_thumb_swing,angle_little,angle_ring,angle_middle,angle_index,angle_thumb_bend,angle_thumb_swing,force_little,force_ring,force_middle,force_index,force_thumb_bend,force_thumb_swing,force_delta_little,force_delta_ring,force_delta_middle,force_delta_index,force_delta_thumb_bend,force_delta_thumb_swing,status_little,status_ring,status_middle,status_index,status_thumb_bend,status_thumb_swing,temp_little,temp_ring,temp_middle,temp_index,temp_thumb_bend,temp_thumb_swing,active_force_count,grasp_continuous_s,grasp_prediction
1.186504,0,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1046.0,62.0,-2.0,-22.0,19.0,10.0,91.0,1.0,0.0,-1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
1.348795,1,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1046.0,61.0,-2.0,-22.0,19.0,10.0,91.0,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
1.510967,2,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,62.0,-2.0,-23.0,19.0,10.0,91.0,1.0,0.0,-2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
1.663040,3,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,61.0,-2.0,-22.0,19.0,10.0,91.0,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
1.825569,4,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1046.0,61.0,-2.0,-21.0,19.0,10.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
1.987868,5,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1046.0,62.0,-2.0,-22.0,19.0,10.0,91.0,1.0,0.0,-1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.150174,6,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,62.0,-2.0,-21.0,19.0,10.0,91.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.312494,7,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,62.0,-2.0,-22.0,19.0,10.0,91.0,1.0,0.0,-1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.484930,8,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,62.0,-2.0,-21.0,19.0,10.0,91.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.647231,9,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,62.0,-2.0,-22.0,19.0,10.0,91.0,1.0,0.0,-1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.819748,10,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,62.0,-2.0,-21.0,19.0,10.0,91.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.981957,11,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1046.0,62.0,-2.0,-22.0,19.0,10.0,91.0,1.0,0.0,-1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.134000,12,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1046.0,62.0,-2.0,-23.0,19.0,10.0,87.0,1.0,0.0,-2.0,0.0,0.0,-4.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.296346,13,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,62.0,-2.0,-21.0,19.0,10.0,88.0,1.0,0.0,0.0,0.0,0.0,-3.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.458623,14,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,62.0,-2.0,-21.0,19.0,10.0,91.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.620921,15,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,62.0,0.0,-21.0,19.0,10.0,88.0,1.0,2.0,0.0,0.0,0.0,-3.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.783250,16,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,62.0,-2.0,-21.0,19.0,10.0,91.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.955707,17,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1046.0,60.0,-2.0,-21.0,19.0,10.0,89.0,-1.0,0.0,0.0,0.0,0.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
4.118009,18,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1046.0,60.0,-1.0,-21.0,21.0,9.0,90.0,-1.0,1.0,0.0,2.0,-1.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
4.290542,19,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1046.0,60.0,-1.0,-19.0,70.0,9.0,90.0,-1.0,1.0,2.0,51.0,-1.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
4.452903,20,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1047.0,61.0,-1.0,-19.0,69.0,8.0,91.0,0.0,1.0,2.0,50.0,-2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
4.604998,21,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1046.0,62.0,-1.0,-19.0,79.0,7.0,91.0,1.0,1.0,2.0,60.0,-3.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
4.767339,22,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1719.0,1447.0,1046.0,62.0,-1.0,-21.0,104.0,7.0,90.0,1.0,1.0,0.0,85.0,-3.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
4.929586,23,initial_open,1720,1720,1720,1720,1450,1050.0,1721.0,1722.0,1722.0,1722.0,1447.0,1046.0,62.0,-2.0,-21.0,119.0,7.0,91.0,1.0,0.0,0.0,100.0,-3.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
