time_s,sample,action,target_little,target_ring,target_middle,target_index,target_thumb_bend,target_thumb_swing,angle_little,angle_ring,angle_middle,angle_index,angle_thumb_bend,angle_thumb_swing,force_little,force_ring,force_middle,force_index,force_thumb_bend,force_thumb_swing,force_delta_little,force_delta_ring,force_delta_middle,force_delta_index,force_delta_thumb_bend,force_delta_thumb_swing,status_little,status_ring,status_middle,status_index,status_thumb_bend,status_thumb_swing,temp_little,temp_ring,temp_middle,temp_index,temp_thumb_bend,temp_thumb_swing
1.186475,0,initial_open,1720,1720,1720,1720,1450,1200.0,1051.0,1053.0,1053.0,1053.0,1233.0,1505.0,158.0,102.0,78.0,99.0,36.0,67.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,48.0,48.0,48.0,40.0,46.0
1.348767,1,initial_open,1720,1720,1720,1720,1450,1200.0,1076.0,1075.0,1079.0,1074.0,1247.0,1481.0,151.0,95.0,70.0,93.0,35.0,65.0,-9.0,-9.0,-10.0,-8.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,48.0,48.0,48.0,38.0,46.0
1.511006,2,initial_open,1720,1720,1720,1720,1450,1200.0,1095.0,1098.0,1099.0,1099.0,1260.0,1453.0,146.0,89.0,63.0,83.0,34.0,66.0,-14.0,-15.0,-17.0,-18.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,48.0,48.0,48.0,38.0,46.0
1.673155,3,initial_open,1720,1720,1720,1720,1450,1200.0,1118.0,1119.0,1121.0,1118.0,1272.0,1425.0,140.0,81.0,57.0,79.0,32.0,69.0,-20.0,-23.0,-23.0,-22.0,-6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,48.0,48.0,48.0,38.0,46.0
1.845666,4,initial_open,1720,1720,1720,1720,1450,1200.0,1138.0,1140.0,1140.0,1139.0,1284.0,1392.0,135.0,74.0,51.0,73.0,30.0,71.0,-25.0,-30.0,-29.0,-28.0,-8.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,48.0,48.0,48.0,40.0,46.0
2.007897,5,initial_open,1720,1720,1720,1720,1450,1200.0,1161.0,1160.0,1164.0,1162.0,1296.0,1364.0,127.0,70.0,45.0,67.0,29.0,72.0,-33.0,-34.0,-35.0,-34.0,-9.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,48.0,48.0,48.0,40.0,46.0
2.180341,6,initial_open,1720,1720,1720,1720,1450,1200.0,1181.0,1183.0,1182.0,1181.0,1306.0,1336.0,122.0,68.0,40.0,63.0,27.0,75.0,-38.0,-36.0,-40.0,-38.0,-11.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,48.0,48.0,48.0,40.0,46.0
2.342566,7,initial_open,1720,1720,1720,1720,1450,1200.0,1202.0,1206.0,1204.0,1204.0,1318.0,1301.0,118.0,68.0,36.0,57.0,27.0,78.0,-42.0,-36.0,-44.0,-44.0,-11.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,48.0,48.0,48.0,40.0,46.0
2.504731,8,initial_open,1720,1720,1720,1720,1450,1200.0,1222.0,1223.0,1224.0,1221.0,1327.0,1270.0,113.0,68.0,30.0,54.0,25.0,78.0,-47.0,-36.0,-50.0,-47.0,-13.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,48.0,48.0,48.0,40.0,46.0
2.677206,9,initial_open,1720,1720,1720,1720,1450,1200.0,1240.0,1243.0,1243.0,1244.0,1337.0,1242.0,111.0,66.0,25.0,47.0,23.0,82.0,-49.0,-38.0,-55.0,-54.0,-15.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,48.0,48.0,48.0,40.0,46.0
