time_s,sample,action,target_little,target_ring,target_middle,target_index,target_thumb_bend,target_thumb_swing,angle_little,angle_ring,angle_middle,angle_index,angle_thumb_bend,angle_thumb_swing,force_little,force_ring,force_middle,force_index,force_thumb_bend,force_thumb_swing,force_delta_little,force_delta_ring,force_delta_middle,force_delta_index,force_delta_thumb_bend,force_delta_thumb_swing,status_little,status_ring,status_middle,status_index,status_thumb_bend,status_thumb_swing,temp_little,temp_ring,temp_middle,temp_index,temp_thumb_bend,temp_thumb_swing,active_force_count,grasp_continuous_s,grasp_prediction
1.185767,0,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,62.0,-2.0,-21.0,17.0,10.0,97.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
1.348008,1,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,62.0,-2.0,-21.0,17.0,10.0,97.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
1.510200,2,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,62.0,-1.0,-21.0,17.0,10.0,95.0,-1.0,1.0,0.0,0.0,0.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
1.672430,3,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,62.0,0.0,-21.0,17.0,10.0,95.0,-1.0,2.0,0.0,0.0,0.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
1.845210,4,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,63.0,-1.0,-21.0,17.0,9.0,90.0,0.0,1.0,0.0,0.0,-1.0,-7.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.007108,5,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,64.0,-1.0,-21.0,17.0,9.0,93.0,1.0,1.0,0.0,0.0,-1.0,-4.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.159155,6,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,60.0,0.0,-20.0,17.0,7.0,90.0,-3.0,2.0,1.0,0.0,-3.0,-7.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.321440,7,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,62.0,-1.0,-20.0,17.0,7.0,93.0,-1.0,1.0,1.0,0.0,-3.0,-4.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.483476,8,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,61.0,0.0,-20.0,17.0,7.0,94.0,-2.0,2.0,1.0,0.0,-3.0,-3.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.645714,9,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,62.0,0.0,-19.0,19.0,7.0,93.0,-1.0,2.0,2.0,2.0,-3.0,-4.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.807905,10,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,61.0,-1.0,-20.0,17.0,7.0,93.0,-2.0,1.0,1.0,0.0,-3.0,-4.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
2.980283,11,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,62.0,0.0,-20.0,17.0,-3.0,111.0,-1.0,2.0,1.0,0.0,-13.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.142513,12,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,62.0,0.0,-19.0,19.0,3.0,97.0,-1.0,2.0,2.0,2.0,-7.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.294642,13,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,62.0,0.0,-21.0,17.0,7.0,97.0,-1.0,2.0,0.0,0.0,-3.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.456902,14,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,62.0,0.0,-20.0,18.0,5.0,93.0,-1.0,2.0,1.0,1.0,-5.0,-4.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.619171,15,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,62.0,-1.0,-20.0,17.0,7.0,92.0,-1.0,1.0,1.0,0.0,-3.0,-5.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.781448,16,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,62.0,0.0,-20.0,17.0,7.0,95.0,-1.0,2.0,1.0,0.0,-3.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
3.943668,17,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,62.0,0.0,-19.0,17.0,7.0,93.0,-1.0,2.0,2.0,0.0,-3.0,-4.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
4.116142,18,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,62.0,0.0,-19.0,17.0,7.0,93.0,-1.0,2.0,2.0,0.0,-3.0,-4.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
4.278415,19,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,62.0,0.0,-19.0,17.0,5.0,92.0,-1.0,2.0,2.0,0.0,-5.0,-5.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
4.450950,20,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,62.0,0.0,-19.0,18.0,7.0,92.0,-1.0,2.0,2.0,1.0,-3.0,-5.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
4.613264,21,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,62.0,0.0,-20.0,18.0,7.0,93.0,-1.0,2.0,1.0,1.0,-3.0,-4.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
4.775449,22,initial_open,1720,1720,1720,1720,1450,1050.0,1719.0,1719.0,1722.0,1721.0,1447.0,1047.0,62.0,0.0,-20.0,18.0,7.0,93.0,-1.0,2.0,1.0,1.0,-3.0,-4.0,2.0,2.0,2.0,2.0,2.0,2.0,46.0,48.0,48.0,46.0,38.0,46.0,0,0.000,pending
