time_s,sample,action,target_little,target_ring,target_middle,target_index,target_thumb_bend,target_thumb_swing,angle_little,angle_ring,angle_middle,angle_index,angle_thumb_bend,angle_thumb_swing,force_little,force_ring,force_middle,force_index,force_thumb_bend,force_thumb_swing,force_delta_little,force_delta_ring,force_delta_middle,force_delta_index,force_delta_thumb_bend,force_delta_thumb_swing,status_little,status_ring,status_middle,status_index,status_thumb_bend,status_thumb_swing,temp_little,temp_ring,temp_middle,temp_index,temp_thumb_bend,temp_thumb_swing
1.186130,0,initial_open,1720,1720,1720,1720,1450,1200.0,1722.0,1722.0,1722.0,1721.0,1447.0,1199.0,55.0,-4.0,-21.0,15.0,5.0,76.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,50.0,50.0,48.0,38.0,46.0
1.348043,1,initial_open,1720,1720,1720,1720,1450,1200.0,1722.0,1722.0,1722.0,1721.0,1447.0,1199.0,55.0,-4.0,-22.0,15.0,5.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,38.0,46.0
1.509862,2,initial_open,1720,1720,1720,1720,1450,1200.0,1722.0,1722.0,1722.0,1721.0,1447.0,1199.0,55.0,-4.0,-22.0,15.0,5.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,38.0,46.0
1.671821,3,initial_open,1720,1720,1720,1720,1450,1200.0,1722.0,1722.0,1722.0,1721.0,1447.0,1199.0,55.0,-4.0,-22.0,15.0,5.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,50.0,48.0,48.0,38.0,46.0
1.843964,4,initial_open,1720,1720,1720,1720,1450,1200.0,1722.0,1722.0,1722.0,1721.0,1447.0,1199.0,55.0,-4.0,-22.0,15.0,5.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,50.0,48.0,38.0,46.0
2.005933,5,initial_open,1720,1720,1720,1720,1450,1200.0,1722.0,1722.0,1722.0,1721.0,1447.0,1199.0,55.0,-4.0,-22.0,15.0,5.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,38.0,46.0
2.168103,6,initial_open,1720,1720,1720,1720,1450,1200.0,1722.0,1722.0,1722.0,1721.0,1447.0,1199.0,55.0,-4.0,-22.0,15.0,5.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,38.0,46.0
2.340312,7,initial_open,1720,1720,1720,1720,1450,1200.0,1722.0,1722.0,1722.0,1721.0,1447.0,1199.0,55.0,-4.0,-21.0,15.0,5.0,76.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,38.0,46.0
2.502447,8,initial_open,1720,1720,1720,1720,1450,1200.0,1722.0,1722.0,1722.0,1721.0,1447.0,1199.0,55.0,-4.0,-21.0,15.0,5.0,77.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,38.0,46.0
2.664521,9,initial_open,1720,1720,1720,1720,1450,1200.0,1722.0,1722.0,1722.0,1721.0,1447.0,1199.0,55.0,-4.0,-21.0,15.0,5.0,77.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,48.0,48.0,48.0,48.0,38.0,46.0
