time_s,sample,phase,event,x_mm,y_mm,z_mm,radius_xy_mm,rx_deg,ry_deg,rz_deg,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,arm_status,motion_status,ctrl_mode,enable
0.940434,30,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
0.970546,31,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.000399,32,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.030544,33,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.060068,34,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.085472,35,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.115571,36,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.150499,37,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.181252,38,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.210050,39,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.235498,40,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.265165,41,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.290668,42,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.320512,43,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.355111,44,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.385293,45,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.414817,46,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.440251,47,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.470140,48,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.500014,49,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.525474,50,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.555567,51,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.585561,52,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.620673,53,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.655001,54,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.680455,55,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.715268,56,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.745081,57,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.770578,58,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.800520,59,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.830652,60,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.865082,61,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.890495,62,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.920564,63,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
